"","distance","bio1","bio4","bio12","bio15","solar_radiation","human_footprint"
"1",0.0402550536638577,139.333333333333,4112.66666666667,689,12911.6666666667,13138.5,NA
"2",0.0648756304802906,55,12406.6666666667,681,39021,12195.0833333333,1
"3",0.0451992280713574,-66.6666666666667,13841,327,25455.3333333333,7038.58333333333,0
"4",0.0451289437725393,235.666666666667,3294.66666666667,1242.33333333333,29683.6666666667,14874.25,7.29570436477661
"5",0.038194444444445,184.666666666667,6756.33333333333,591.333333333333,15843.6666666667,19156.9166666667,7.74087476730347
"6",0.0506042110538694,184.666666666667,6756.33333333333,591.333333333333,15843.6666666667,19156.9166666667,7.74087476730347
"7",0.108198259930361,105,5292.66666666667,672,17417.6666666667,9314.16666666667,29
"8",0.0145885179859075,293,3677,1036,28186.3333333333,15934.1666666667,6.45580816268921
"9",0.0292502156546275,136.666666666667,4099,698,13435,13067.6666666667,15.5767097473145
"10",0.0210373663215151,132.333333333333,3696,719,13341,12632.0833333333,13.9567403793335
"11",0.00847442951087365,136.666666666667,4099,698,13435,13067.6666666667,15.5767097473145
"12",0.00883802852672194,110,10738.3333333333,784,39211.6666666667,12581.8333333333,NA
"13",0.0139959035084004,110,10738.3333333333,784,39211.6666666667,12581.8333333333,NA
"14",0.0918311401910691,103.333333333333,8239,653.666666666667,23603.3333333333,10055.6666666667,39.4455871582031
"15",0.0585038893949814,58.6666666666667,12425.3333333333,689.666666666667,39969.6666666667,12165.4166666667,1
"16",0.002140210909035,214.666666666667,5921.33333333333,837,11403.6666666667,NA,NA
"17",0.0361589601922521,138,6642.66666666667,713.333333333333,22713.6666666667,14594.25,26.48610496521
"18",0.0150634182655372,271.333333333333,671.333333333333,1828.33333333333,7561,15953.1666666667,4
"19",0.0140684978205846,271.333333333333,671.333333333333,1828.33333333333,7561,15953.1666666667,4
"20",2.14466437440816e-17,55.6666666666667,11628,706,35039.3333333333,12304.0833333333,14.5752754211426
"21",0.00649314882518934,272,2327,1495,37790,18171.4166666667,4
"22",0.0188946977742529,269.666666666667,3062.33333333333,1097.33333333333,29693.3333333333,15615.9166666667,4.16540622711182
"23",0.0199486577682927,174.666666666667,5357,813.333333333333,13281,13858.5833333333,39.7421379089355
"24",4.05915930965793e-17,49.6666666666667,11740.3333333333,703.666666666667,34405.3333333333,12348.8333333333,1
"25",0.0263070310719624,284.666666666667,3210.33333333333,1488.33333333333,26145,16469.0833333333,6
"26",0.0261307489769021,111.333333333333,9489,762.333333333333,31499.3333333333,13138.4166666667,30.9252471923828
