"","network_number","dataset_id","type","nnodes","nedges","connectance","linkage_density","network_description","doi","year","first_author","paper_url","ecosystem","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","ID","solar_radiation","ID.1","human_footprint","network_number_list","distance","sq_wasserstein_in_out_location_PERC","sq_wasserstein_in_out_size_PERC","sq_wasserstein_in_out_shape_PERC"
"11","Network #1638","Dataset #168","mutualistic",27,41,0.056241426611797,1.51851851851852,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,60,20610.5,60,NA,"Network #1638",0.0584817225091013,25.0693729582879,17.7326468734282,57.1979801682839
"12","Network #1669","Dataset #168","mutualistic",35,57,0.046530612244898,1.62857142857143,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,61,20610.5,61,NA,"Network #1669",0.0766020701642323,25.8860338566083,17.66639663287,56.4475695105217
"13","Network #1670","Dataset #168","mutualistic",23,32,0.0604914933837429,1.39130434782609,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,62,20610.5,62,NA,"Network #1670",0.0414939869489941,42.5343235888547,0.491842953196558,56.9738334579488
"14","Network #5181","Dataset #181","mutualistic",272,136,0.00183823529411765,0.5,"Pollination network at site shady_point during week 12 of 2015","10.1111/ele.12740",2020,"Paul CaraDonna","https://onlinelibrary.wiley.com/doi/10.1111/ele.12740","terrestrial",32.3333333333333,295.666666666667,49,10839.3333333333,306.333333333333,-300,606.333333333333,157,-94.6666666666667,158.666666666667,-101,470.333333333333,795.666666666667,262,18912,728,279.666666666667,717.333333333333,284.666666666667,66,16682.3333333333,66,2.02859425544739,"Network #5181",1.07852980679416e-16,0,0,100
"15","Network #27","Dataset #12","mutualistic",114,167,0.012850107725454,1.46491228070175,"Understory perennial plants interaction with pollinator, 5 km east of Doaktown, Northumberland County, central New Brunswick, Canada","10.1139/b87-278",1987,"barret","http://labs.eeb.utoronto.ca/barrett/pdf/schb_57.pdf","terrestrial",41.3333333333333,271.666666666667,44.6666666666667,12042,296.666666666667,-317.666666666667,614.333333333333,170.333333333333,-116.333333333333,172.333333333333,-118.333333333333,646,1175.66666666667,216,33636.3333333333,1086,261.666666666667,1080.33333333333,267.666666666667,72,12304.1666666667,72,4.33520078659058,"Network #27",0.187149135261767,29.8945440354366,39.1864306309463,30.9190253336171
"16","Network #15","Dataset #5","mutualistic",317,1121,0.0111554498502324,3.53627760252366,"Fruit-bird interaction at the Intervales State Park, Brazil","10.1079/9780851995250.0423",2002,"silva","https://www.researchgate.net/publication/237371343_Patterns_of_Fruit-Frugivore_Interactions_in_Two_Atlantic_Forest_Bird_Communities_of_South-eastern_BrazilImplications_for_Conservation","terrestrial",206.666666666667,199.666666666667,60.6666666666667,3339.33333333333,357.333333333333,26.3333333333333,331,233.333333333333,168.666666666667,241,162.666666666667,1236.33333333333,1595.66666666667,868.333333333333,24971.6666666667,1537.33333333333,933,1443.66666666667,971.333333333333,73,13786.5,73,4,"Network #15",0.0188251748805967,10.4674135438661,28.4452065335329,61.087379922601
"17","Network #908","Dataset #7","mutualistic",43,63,0.0340724716062737,1.46511627906977,"Pollnator activity recorded on flowers, Uummannaq Island, Greenland, Danmark","10.1657/1523-0430(2005)037[0514:TDAHCW]2.0.CO;2",2005,"lundgren","http://www.bioone.org/doi/full/10.1657/1523-0430%282005%29037%5B0514%3ATDAHCW%5D2.0.CO%3B2","terrestrial",-13.6666666666667,167.333333333333,37,8940.66666666667,200,-264.333333333333,464.666666666667,99.6666666666667,-117.666666666667,101.666666666667,-119.333333333333,280.666666666667,478.666666666667,130,11832,445.333333333333,158,444.666666666667,159,74,8556.58333333333,74,NA,"Network #908",0.0370847801009469,32.3678665594975,13.7733287011645,53.8588047393381
"18","Network #928","Dataset #59","mutualistic",45,96,0.0474074074074074,2.13333333333333,"Bromeliad-pollinator interaction in the Estacao Biologica de Santa Lucia in southeastern Brazil","10.1016/j.actao.2012.06.001",2012,"varassin","https://doi.org/10.1016%2Fj.actao.2012.06.001","terrestrial",219.333333333333,142.666666666667,65,2120.33333333333,326.333333333333,104.333333333333,221.666666666667,239,196,241.666666666667,192,1432,1705,1142.66666666667,18892.3333333333,1654.33333333333,1200.66666666667,1615,1216,75,14924,75,9.40860462188721,"Network #928",0.0144829810884977,18.8301046391137,9.71736309766455,71.4525322632218
"19","Network #929","Dataset #60","mutualistic",26,71,0.105029585798817,2.73076923076923,"oil-flowers (Malpighiaceae) and their bee visitors from a Brazilian steppe, Parque Nacional do Catimbau, in the municipality of Buique (PE), northeastern Brazil","10.1111/j.1365-2656.2009.01567.x",2009,"bezerra","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2009.01567.x/pdf","terrestrial",270.666666666667,186.666666666667,74.3333333333333,2118.33333333333,405.666666666667,154.666666666667,251.333333333333,263.333333333333,279.333333333333,292.333333333333,243,1263,1495.33333333333,1058.33333333333,13586,1428.33333333333,1113,1183.66666666667,1302,76,17992.4166666667,76,5.48398160934448,"Network #929",0.0088685844742052,4.73805054633956,14.2379018382466,81.0240476154138
"20","Network #945","Dataset #68","mutualistic",57,143,0.0440135426285011,2.50877192982456,"spring wildflower community of mesic deciduous forests in piedmont North Carolina","10.2307/2937269",1982,"motten","https://doi.org/10.2307%2F2937269","terrestrial",155,244.333333333333,51,7854,362.666666666667,-117.333333333333,480,248.333333333333,60.6666666666667,252,59,987.333333333333,1517.33333333333,556.666666666667,32530.3333333333,1427,627.666666666667,1410.33333333333,629.666666666667,77,15078.5833333333,77,24.7403259277344,"Network #945",0.119380484812611,47.325165731051,20.8891036309429,31.7857306380061
