"","distance","bio1","bio4","bio12","bio15","solar_radiation","human_footprint"
"1",1.07444917160946e-16,32.3333333333333,10839.3333333333,470.333333333333,18912,16682.3333333333,2.02859425544739
"2",0.0393264292365745,274,1925.66666666667,1750.33333333333,16217.6666666667,19747.25,11.5292406082153
"3",0.0233864057936688,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"4",0.00658464532853411,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"5",0.0888145262753572,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"6",0.0355024610712808,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"7",0.0313722198185145,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"8",0.101644651958167,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"9",0.0377158183191708,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"10",0.0932174885446023,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"11",0.0584817225091013,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"12",0.0766020701642323,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"13",0.0414939869489941,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"14",1.07852980679416e-16,32.3333333333333,10839.3333333333,470.333333333333,18912,16682.3333333333,2.02859425544739
"15",0.187149135261767,41.3333333333333,12042,646,33636.3333333333,12304.1666666667,4.33520078659058
"16",0.0188251748805967,206.666666666667,3339.33333333333,1236.33333333333,24971.6666666667,13786.5,4
"17",0.0370847801009469,-13.6666666666667,8940.66666666667,280.666666666667,11832,8556.58333333333,NA
"18",0.0144829810884977,219.333333333333,2120.33333333333,1432,18892.3333333333,14924,9.40860462188721
"19",0.0088685844742052,270.666666666667,2118.33333333333,1263,13586,17992.4166666667,5.48398160934448
"20",0.119380484812611,155,7854,987.333333333333,32530.3333333333,15078.5833333333,24.7403259277344
"21",0.0401039009302747,282.666666666667,1569.33333333333,1355.33333333333,16536.3333333333,16591.5833333333,NA
"22",0.0566918061525097,236.666666666667,2481,1109.33333333333,17094.6666666667,21363.8333333333,10.8288450241089
"23",0.0544853851186548,262,2155.33333333333,1483.66666666667,20413.6666666667,18401,11.8654489517212
"24",0.0310361793608515,89.6666666666667,8504,837.666666666667,39096,13570.25,10.8143396377563
"25",0.0654611159638217,-3.33333333333333,8548,422,22277,7714.66666666667,1
"26",0.0927626940847127,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"27",0.0539338643885794,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"28",0.150375629646635,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"29",1.0563947464852e-16,32.3333333333333,10839.3333333333,470.333333333333,18912,16682.3333333333,2.02859425544739
"30",0.00924824943849908,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"31",0.0434565279078265,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"32",0.0843799928353455,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"33",0.147363145910029,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
"34",0.0813175046648433,278.333333333333,1017,1780.66666666667,7441.66666666667,20610.5,NA
